Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
11/18/2013,EMS,2. Non-Life Threatening Med Emergencies,6761,3.11,58.15,,,61.39,155.70,244.96,738.73,690.31,3,53,,,5,78,117,424,608,8.23,2.14,0.84,0.08,0.92,0.05,,
11/18/2013,EMS,1. Life Threating Med Emergencies,4488,3.18,52.48,,,55.88,155.51,193.89,556.80,494.71,3,48,,,5,72,106,332,453,6.05,1.55,0.96,0.08,0.83,0.05,,
11/18/2013,FDNY,3. Medical Emergencies,1944,3.12,147.53,,,66.32,144.37,175.00,434.14,395.19,3,107,,,5,47,7,244,365,4.32,0.46,1.31,0.09,2.41,0.05,,
11/18/2013,FDNY,,83,3.12,466.54,,,,,486.61,718.89,587.37,3,104,,,,,14,217,384,3.87,0.33,,,7.72,0.05,,
11/18/2013,FDNY,4. Non-Medical Emergencies,1775,3.17,170.90,,,,,189.97,480.62,451.74,3,80,,,,,13,258,376,4.84,0.32,,,2.80,0.05,,
11/18/2013,FDNY,1. Structural Fires,306,3.05,76.31,,,,,89.70,281.30,279.42,3,54,,,,,10,195,267,3.19,0.22,,,1.22,0.05,,
11/18/2013,FDNY,2. Non-Structural Fires,165,3.03,61.97,,,,,75.05,329.65,327.88,3,57,,,,,10,242,301,4.24,0.22,,,0.98,0.05,,
11/18/2013,NYPD,1. Critical,130,3.22,265.38,,,,,374.78,681.41,671.46,3,257.5,,,,,83.5,150.5,527,5.11,1.82,,,4.37,0.05,,
11/18/2013,NYPD,3. Non-Critical,230,3.13,299.76,,,,,559.69,1024.12,1016.88,3,283.5,,,,,127,316,788,7.74,4.33,,,4.94,0.05,,
11/18/2013,NYPD,2. Serious,223,3.30,282.80,,,,,429.46,709.57,687.13,3,276,,,,,91,203,600,4.67,2.44,,,4.66,0.06,,
